thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
106,0,106,[np.float64(-0.19722222222222222)],[np.float64(0.3527777777777778)],[1],[0],[0],[2.3381674000047497],['Target'],106,0,106,0,173.06525529999635,,10,173.05279419999715,173.06525529999635,173.06525529999635,0.017997399998421315,175.39126769999712,[np.float64(-0.19722222222222222)],[np.float64(0.3527777777777778)],[1],[0],[0],[2.3381674000047497],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
107,0,107,[np.float64(0.28055555555555556)],[np.float64(0.48333333333333334)],[1],[0],[0],[1.468028700001014],['Target'],107,0,107,0,175.43303849999938,,5,175.4158815999981,175.43303849999938,175.43303849999938,0.024353100001462735,176.8841542999944,[np.float64(0.28055555555555556)],[np.float64(0.48333333333333334)],[1],[0],[0],[1.468028700001014],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
108,0,108,[np.float64(0.4847222222222222)],[np.float64(-0.4305555555555556)],[1],[0],[0],[1.373188300000038],['Target'],108,0,108,0,176.91493849999824,,5,176.89336170000024,176.91493849999824,176.91493849999824,0.009123399999225512,178.2666917999959,[np.float64(0.4847222222222222)],[np.float64(-0.4305555555555556)],[1],[0],[0],[1.373188300000038],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
109,0,109,[np.float64(-0.041666666666666664)],[np.float64(-0.22361111111111112)],[1],[0],[0],[1.1063348000025144],['Target'],109,0,109,0,178.29804909999802,,5,178.27711989999807,178.29804909999802,178.29804909999802,0.010316600004443899,179.3835978999996,[np.float64(-0.041666666666666664)],[np.float64(-0.22361111111111112)],[1],[0],[0],[1.1063348000025144],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
110,0,110,[np.float64(0.2569444444444444)],[np.float64(0.2625)],[1],[0],[0],[1.3050115999940317],['Target'],110,0,110,0,179.41484849999688,,5,179.3953842999981,179.41484849999688,179.41484849999688,0.011719000001903623,180.70056710000063,[np.float64(0.2569444444444444)],[np.float64(0.2625)],[1],[0],[0],[1.3050115999940317],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
111,0,111,[np.float64(0.03194444444444444)],[np.float64(0.4486111111111111)],[1],[0],[0],[1.189329100001487],['Target'],111,0,111,0,180.7309105999957,,5,180.7111109999969,180.7309105999957,180.7309105999957,0.010467000000062399,181.90058649999992,[np.float64(0.03194444444444444)],[np.float64(0.4486111111111111)],[1],[0],[0],[1.189329100001487],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
112,0,112,[np.float64(-0.4847222222222222)],[np.float64(0.44722222222222224)],[1],[0],[0],[1.4787738000013633],['Target'],112,0,112,0,181.93087419999938,,10,181.92014129999734,181.93087419999938,181.93087419999938,0.01947410000138916,183.39904729999398,[np.float64(-0.4847222222222222)],[np.float64(0.44722222222222224)],[1],[0],[0],[1.4787738000013633],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
113,0,113,[np.float64(-0.15)],[np.float64(0.2902777777777778)],[1],[0],[0],[1.4257265999985975],['Target'],113,0,113,0,183.4307409999965,,5,183.40787029999774,183.4307409999965,183.4307409999965,0.00872660000459291,184.8337406999999,[np.float64(-0.15)],[np.float64(0.2902777777777778)],[1],[0],[0],[1.4257265999985975],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
114,0,114,[np.float64(0.38055555555555554)],[np.float64(0.38055555555555554)],[1],[0],[0],[1.457918600004632],['Target'],114,0,114,0,184.88235010000062,,10,184.85875469999883,184.88235010000062,184.88235010000062,0.024936599998909514,186.31690809999418,[np.float64(0.38055555555555554)],[np.float64(0.38055555555555554)],[1],[0],[0],[1.457918600004632],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
115,0,115,[np.float64(-0.45416666666666666)],[np.float64(-0.4361111111111111)],[1],[0],[0],[1.9310573999973712],['Target'],115,0,115,0,186.34694079999463,,10,186.33539839999867,186.34694079999463,186.34694079999463,0.018348300000070594,188.26660499999707,[np.float64(-0.45416666666666666)],[np.float64(-0.4361111111111111)],[1],[0],[0],[1.9310573999973712],['Target'],FOUR,001,2025-10-03_09h01.26.447,Visual Search Experiment,,2025.1.1,59.53794978701923,2025-10-03 09h01.55.857312 +0530,
