reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
76,165,36,38,38,0,l,0.13649909998639487,None,0,38,38,78,47.122630700003356,,47.11137800000142,47.122630700003356,48.105953999998746,48.105953999998746,48.12258729999303,48.256410400004825,l,0.13649909998639487,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
39,68,45,39,39,0,l,6.289998418651521e-05,None,0,39,39,16,48.27267559999018,,48.26015180000104,48.27267559999018,49.25576159998309,49.25576159998309,49.27243219999946,49.25629799999297,l,6.289998418651521e-05,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
27,50,21,40,40,0,t,0.0499683000089135,None,0,40,40,2,49.27243219999946,,49.259625000006054,49.27243219999946,50.25586239999393,50.25586239999393,50.27250110000023,50.30729940001038,t,0.0499683000089135,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
110,250,53,41,41,0,t,0.09345379998558201,None,0,41,41,95,50.322735900001135,,50.31042299998808,50.322735900001135,51.32234710000921,51.32234710000921,51.32234710000921,51.42280689999461,t,0.09345379998558201,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
34,68,15,42,42,0,t,0.04797479999251664,None,0,42,42,57,51.43922319999547,,51.42566189999343,51.43922319999547,52.42222179999226,52.42222179999226,52.43886669998756,52.47262670000782,t,0.04797479999251664,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
88,130,155,43,43,0,l,0.09517970000160858,None,0,43,43,38,52.489135599986184,,52.47509140000329,52.489135599986184,53.47221370000625,53.47221370000625,53.488838999997824,53.57282820000546,l,0.09517970000160858,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
74,98,120,44,44,0,t,0.05031390002113767,None,0,44,44,31,53.588939000008395,,53.575414699997054,53.588939000008395,54.57247789998655,54.57247789998655,54.589192599989474,54.6397341999982,t,0.05031390002113767,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
58,120,27,45,45,0,l,0.0977320000238251,None,0,45,45,69,54.65558289998444,,54.64361289999215,54.65558289998444,55.65515730000334,55.65515730000334,55.65515730000334,55.75567919999594,l,0.0977320000238251,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
90,135,160,46,46,0,l,0.20290959998965263,None,0,46,46,39,55.772308999992674,,55.758762499986915,55.772308999992674,56.75497750000795,56.75497750000795,56.77172459999565,56.97225809999509,l,0.20290959998965263,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
42,70,50,47,47,0,l,0.09684319997904822,None,0,47,47,17,56.98835749999853,,56.97596300000441,56.98835749999853,57.9731053999858,57.9731053999858,57.98870230000466,58.07307349998155,l,0.09684319997904822,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
70,94,110,48,48,0,l,0.3018027000071015,None,0,48,48,29,58.08897899999283,,58.0763666999992,58.08897899999283,59.07326179998927,59.07326179998927,59.08972099999664,59.38870660000248,l,0.3018027000071015,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
118,270,57,49,49,0,l,0.08173810000880621,None,0,49,49,99,59.40491429998656,,59.391740299994126,59.40491429998656,60.38806659998954,60.38806659998954,60.404563399992185,60.47206110000843,l,0.08173810000880621,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
30,52,25,50,50,0,t,0.04092629998922348,None,0,50,50,12,60.48814420000417,,60.47609700000612,60.48814420000417,61.47117020000587,61.47117020000587,61.487725699989824,61.5219236999983,t,0.04092629998922348,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
16,32,6,51,51,0,l,0.013903599989134818,None,0,51,51,48,61.53843919999781,,61.52589759998955,61.53843919999781,62.52132199998596,62.52132199998596,62.53778409998631,62.53820949999499,l,0.013903599989134818,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
46,92,21,52,52,0,t,0.06988940000883304,None,0,52,52,63,62.55452219999279,,62.541763199988054,62.55452219999279,63.53774880000856,63.53774880000856,63.554423199995654,63.62153330000001,t,0.06988940000883304,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
84,120,145,53,53,0,t,0.1784862000204157,None,0,53,53,36,63.63764080000692,,63.62567479998688,63.63764080000692,64.6210132999986,64.6210132999986,64.63783059999696,64.80453120000311,t,0.1784862000204157,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
44,88,20,54,54,0,t,0.03478909999830648,None,0,54,54,62,64.82089309999719,,64.80811829998856,64.82089309999719,65.80408790000365,65.80408790000365,65.82070260000182,65.85464040000807,t,0.03478909999830648,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
52,105,24,55,55,0,t,0.03822700001182966,None,0,55,55,66,65.87061569999787,,65.85822580000968,65.87061569999787,66.85444840000127,66.85444840000127,66.8710940000019,66.90472970000701,t,0.03822700001182966,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
18,36,7,56,56,0,t,0.06478159999824129,None,0,56,56,49,66.92053440000745,,66.90795470000012,66.92053440000745,67.90392929999507,67.90392929999507,67.92073149999487,67.97153139999136,t,0.06478159999824129,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
72,96,115,57,57,0,l,0.0922067999781575,None,0,57,57,30,67.98764949999168,,67.97569880000083,67.98764949999168,68.9873580999847,68.9873580999847,68.9873580999847,69.08767959999386,l,0.0922067999781575,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
98,220,47,58,58,0,l,0.06875829998170957,None,0,58,58,89,69.10392779999529,,69.09099830000196,69.10392779999529,70.08695799999987,70.08695799999987,70.10364049999043,70.17094109999016,l,0.06875829998170957,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
96,215,46,59,59,0,l,0.004449500003829598,None,0,59,59,88,70.18698609998683,,70.174199400004,70.18698609998683,71.17089889998897,71.17089889998897,71.18749310000567,71.18798139999853,l,0.004449500003829598,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
14,28,5,60,60,0,l,0.08326189999934286,None,0,60,60,47,71.2047762000002,,71.1927255000046,71.2047762000002,72.20350020000478,72.20350020000478,72.20350020000478,72.28734280000208,l,0.08326189999934286,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
68,145,32,61,61,0,l,0.20337259999359958,None,0,61,61,74,72.30350849998649,,72.29033160000108,72.30350849998649,73.28679660000489,73.28679660000489,73.3033291999891,73.5039962999872,l,0.20337259999359958,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
30,60,13,62,62,0,t,0.320751699997345,None,0,62,62,55,73.51991730000009,,73.50710459999391,73.51991730000009,74.50346790000913,74.50346790000913,74.5199689999863,74.8373270999873,t,0.320751699997345,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
64,135,30,63,63,0,t,0.21631519999937154,None,0,63,63,72,74.8532881999854,,74.83978650000063,74.8532881999854,75.83689489998505,75.83689489998505,75.8539225999848,76.0538530999911,t,0.21631519999937154,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
66,140,31,64,64,0,t,0.10680459998548031,None,0,64,64,73,76.07020859999466,,76.05678710000939,76.07020859999466,77.05453130000387,77.05453130000387,77.07121059999918,77.17240079998737,t,0.10680459998548031,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
20,38,12,65,65,0,t,0.03372430001036264,None,0,65,65,9,77.20493780000834,,77.18301790000987,77.20493780000834,78.18645069998456,78.18645069998456,78.22022519999882,78.22082660000888,t,0.03372430001036264,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
106,240,51,66,66,0,l,0.047491999983321875,None,0,66,66,93,78.23617709998507,,78.22370879998198,78.23617709998507,79.23608299999614,79.23608299999614,79.23608299999614,79.28680440000608,l,0.047491999983321875,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
96,150,175,67,67,0,l,0.1711102000263054,None,0,67,67,42,79.30272199999308,,79.2896678999823,79.30272199999308,80.28599370000302,80.28599370000302,80.30278910000925,80.4709554000001,l,0.1711102000263054,None,Participant_03,001,2025-11-06_06h44.42.889,Delay Discounting,,2025.1.1,59.67256470706041,2025-11-06 06h44.57.593018 +0530,
